enterer,entry_date,subject,DOT,DOB,age_group,order,item,label,story,polarity,condition,true_answer,response,correct,response_type,justification,just_type,include
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,cuz yellow,,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,4,target,weight,pos,TWP,1,1,1,adult-like,bc remember size,scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,5,target,capacity,pos,TCP,3,2,0,middle,bc size,scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,6,filler,scale,pos,FSP,2,3,0,opposite,bc size,,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,green bucket and pink shell,,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,bc size that thing is even smaller,scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,9,target,reach,neg,TRN,3,3,1,adult-like,bc size,scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,"she is the middle middle hat, yellow",,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,11,target,weight,neg,TWN,3,1,0,opposite,"bc size, ""why is it the big one?"", waffled between 1 and 3",scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,12,target,capacity,neg,TCN,1,2,0,middle,bc color,random,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,1,target,fit,neg,TFN,1,3/1,0,other,i dont know,none,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,kind of long,scale,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,pink shell,,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,she is kinda big,scale,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,5,target,capacity,neg,TCN,1,2,0,middle,green and black,random,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,she is close to yellow,,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,he has that hat its yellow,,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,he's big,scale,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,9,target,reach,pos,TRP,1,2,0,middle,this size,scale,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,10,filler,scale,pos,FSP,2,2/1,0,other,she looks like jelly,,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,11,target,weight,pos,TWP,1,3,0,opposite,the trunk is this big,scale,1
J,2018-02-17,20,2018-02-17,2014-03-10,3,NEG,12,target,capacity,pos,TCP,3,2,0,middle,she looks like sammy,random,1
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,smallest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,tallest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,seashell doesn't match,,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,biggest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,she is the smallest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,yellow one,,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,hat is yellow,,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,biggest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,shortest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium sized one,,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,smallest,scale,0
J,2018-02-17,21,2018-02-17,2009-08-20,8,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,biggest basket and biggest squirrel,scale,0
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,little one,scale,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,tallest,scale,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,green bucket,,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,4,target,weight,neg,TWN,3,2,0,middle,purple,random,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,5,target,capacity,neg,TCN,1,2,0,middle,greenest,random,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,6,filler,scale,neg,FSN,2,3,0,opposite,reddest,,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,yellow hat,,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,8,target,fit,pos,TFP,3,2,0,middle,blackest,random,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,9,target,reach,pos,TRP,1,2,0,middle,brownest,random,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium,,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,littlest,scale,1
J,2018-02-17,22,2018-02-17,2013-11-26,4,NEG,12,target,capacity,pos,TCP,3,1,0,opposite,littlest basket,scale,1
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,look at that!,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,I saw it,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,look at that!,,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,looked,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,5,target,capacity,neg,TCN,1,2,0,middle,figured it out,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,6,filler,scale,neg,FSN,2,1,0,opposite,figured it out,,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,figured it out,,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,figured it out,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,9,target,reach,pos,TRP,1,2,0,middle,figured it out,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,10,filler,scale,pos,FSP,2,1/2,0,other,i dont know,,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,11,target,weight,pos,TWP,1,3,0,opposite,figured it out,random,0
J,2018-02-17,23,2018-02-17,2012-12-29,5,NEG,12,target,capacity,pos,TCP,3,2,0,middle,figured it out,random,0
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,smallest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,longest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,didn't match,,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,biggest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,small enough to fit,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,middle sized hat,,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,yellow,,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,biggest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,shortest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium sized,,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,smallest and they are less lightest,scale,1
J,2018-02-17,24,2018-02-17,2012-05-03,5,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,biggest basket,scale,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,1,target,fit,pos,TFP,3,3,1,adult-like,bc,random,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,2,target,reach,pos,TRP,1,1,1,adult-like,bc he's small,scale,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,bc,,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,4,target,weight,pos,TWP,1,1,1,adult-like,bc,random,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,5,target,capacity,pos,TCP,3,2,0,middle,bc,random,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,medium,,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,bc medium,,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,8,target,fit,neg,TFN,1,1,1,adult-like,"small, hole is small",scale,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,9,target,reach,neg,TRN,3,3,1,adult-like,big can reach,scale,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,,,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,11,target,weight,neg,TWN,3,3,1,adult-like,big,scale,1
J,2018-02-24,25,2018-02-24,2012-02-18,6,POS,12,target,capacity,neg,TCN,1,3,0,opposite,she's big,scale,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,1,target,fit,pos,TFP,3,1,0,opposite,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,2,target,reach,pos,TRP,1,1,1,adult-like,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,,,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,4,target,weight,pos,TWP,1,1,1,adult-like,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,5,target,capacity,pos,TCP,3,1,0,opposite,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,6,filler,scale,pos,FSP,2,1,0,opposite,,,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,no green shell,,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,9,target,reach,neg,TRN,3,1,0,opposite,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,,,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,11,target,weight,neg,TWN,3,1,0,opposite,,none,1
J,2018-02-24,26,2018-02-24,2012-11-08,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,,none,1
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,1,target,fit,pos,TFP,3,1,0,opposite,,none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,2,target,reach,pos,TRP,1,1,1,adult-like,,none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,,,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,4,target,weight,pos,TWP,1,1,1,adult-like,,none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,5,target,capacity,pos,TCP,3,1,0,opposite,,none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,6,filler,scale,pos,FSP,2,,0,other,,,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,7,filler,sameness,neg,FMN,2,1,0,opposite,,,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,8,target,fit,neg,TFN,1,1/2,0,other,"*pointed to one, we asked why and she replied by pointing to 2*",none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,9,target,reach,neg,TRN,3,1/2,0,other,"*pointed to one, we asked why and she replied by pointing to 2*",none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,10,filler,scale,neg,FSN,2,1/2,0,other,"*pointed to one, we asked why and she replied by pointing to 2*",,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,11,target,weight,neg,TWN,3,1,0,opposite,,none,0
J,2018-02-24,27,2018-02-24,2014-09-12,3,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,1,target,fit,pos,TFP,3,2,0,middle,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,2,target,reach,pos,TRP,1,2,0,middle,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,,,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,4,target,weight,pos,TWP,1,1,1,adult-like,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,5,target,capacity,pos,TCP,3,2,0,middle,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,6,filler,scale,pos,FSP,2,,0,other,,,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,7,filler,sameness,neg,FMN,2,1,0,opposite,,,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,8,target,fit,neg,TFN,1,1,1,adult-like,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,9,target,reach,neg,TRN,3,2,0,middle,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,,,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,11,target,weight,neg,TWN,3,2,0,middle,,none,0
J,2018-02-24,28,2018-02-24,2014-11-26,3,POS,12,target,capacity,neg,TCN,1,2,0,middle,,none,0
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,1,target,fit,pos,TFP,3,3,1,adult-like,,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,2,target,reach,pos,TRP,1,1,1,adult-like,don't know,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,yellow,,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,4,target,weight,pos,TWP,1,1,1,adult-like,don't know,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,5,target,capacity,pos,TCP,3,,0,other,don't know,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,medium,,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,pink,,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,8,target,fit,neg,TFN,1,,0,other,don't know,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,9,target,reach,neg,TRN,3,3,1,adult-like,,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,yellow hat,,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,11,target,weight,neg,TWN,3,3,1,adult-like,,none,1
J,2018-02-24,29,2018-02-24,2012-01-12,6,POS,12,target,capacity,neg,TCN,1,,0,other,don't know,none,1
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,1,target,fit,neg,TFN,1,2,0,middle,penguin in the middle ,random,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,2,target,reach,neg,TRN,3,2,0,middle,all in the middle,random,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,,,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,4,target,weight,neg,TWN,3,2,0,middle,all in the middle,random,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,5,target,capacity,neg,TCN,1,2,0,middle,,none,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,6,filler,scale,neg,FSN,2,1,0,opposite,looks like a girl,,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,looks li,,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,cuz its big,scale,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,9,target,reach,pos,TRP,1,3,0,opposite,i chose one there (small) and there's another (big),scale,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,10,filler,scale,pos,FSP,2,1,0,opposite,cuz its small and backpack is small,,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,cuz he's little,scale,0
yadav,2018-03-05,30,2018-02-27,2013-01-22,5,NEG,12,target,capacity,pos,TCP,3,1,0,opposite,cuz he's little,scale,0
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,1,target,fit,neg,TFN,1,2,0,middle,,none,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,2,target,reach,neg,TRN,3,1,0,opposite,,none,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,,,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,4,target,weight,neg,TWN,3,2,0,middle,,none,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,5,target,capacity,neg,TCN,1,2,0,middle,idk i'm only strong enough,none,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,6,filler,scale,neg,FSN,2,,0,other,?,,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,idk she's a turtle,,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,he is big + super old,scale,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,9,target,reach,pos,TRP,1,2,0,middle,"bc idk ""he can"" little one can't",random,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,,,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,11,target,weight,pos,TWP,1,2,0,middle,idk why,none,1
yadav,2018-03-05,31,2018-02-27,2015-01-31,3,NEG,12,target,capacity,pos,TCP,3,2,0,middle,idk,none,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,,none,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,it fits,scale,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,3,filler,sameness,neg,FMN,2,3,0,opposite,it matched,,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,its strong,scale,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,she's bigger,scale,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,"""3""",,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,,,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,"""he's 2""",random,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,9,target,reach,pos,TRP,1,3,0,opposite,"he can reach the apple, little one can't",scale,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,,,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,11,target,weight,pos,TWP,1,3,0,opposite,idk,none,1
yadav,2018-03-05,32,2018-02-27,2014-07-15,3,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,idk,none,1
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,idk,none,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,2,target,reach,neg,TRN,3,1,0,opposite,idk who mary is,none,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,3,filler,sameness,neg,FMN,2,1,0,opposite,*laughs*,,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,"doesn't quite know, looks at us for the answer",none,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,*laughs*,none,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,6,filler,scale,neg,FSN,2,1,0,opposite,"doesn't quite know, looks at us for the answer",,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,7,filler,sameness,pos,FMP,2,1,0,opposite,"doesn't quite know, looks at us for the answer",,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,8,target,fit,pos,TFP,3,1,0,opposite,always small,,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,,,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,10,filler,scale,pos,FSP,2,0,0,other,did not complete,,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,11,target,weight,pos,TWP,1,0,0,other,did not complete,,0
J,2018-02-17,33,2018-03-10,2013-03-03,5,NEG,12,target,capacity,pos,TCP,3,0,0,other,did not complete,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,1,target,fit,neg,TFN,1,3,0,opposite,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,2,target,reach,neg,TRN,3,2,0,middle,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,3,filler,sameness,neg,FMN,2,1,0,opposite,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,4,target,weight,neg,TWN,3,1,0,opposite,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,9,target,reach,pos,TRP,1,2,0,middle,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,10,filler,scale,pos,FSP,2,1,0,opposite,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,cause it just is,,0
J,2018-02-17,34,2018-03-10,2014-03-10,4,NEG,12,target,capacity,pos,TCP,3,2,0,middle,cause it just is,,0
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,the smallest,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,bc the biggest,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,bc it doesn't match,,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,bc its big,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,cause its big,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,cause he doesn't have purple,,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,cause it has a yellow party hat,,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,8,target,fit,pos,TFP,3,1,0,opposite,cause its little,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,cause its small,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,10,filler,scale,pos,FSP,2,1,0,opposite,cause its small,,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,cause its small,scale,1
J,2018-02-17,35,2018-03-10,2014-03-10,4,NEG,12,target,capacity,pos,TCP,3,1,0,opposite,cause its small,scale,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,1,target,fit,neg,TFN,1,,0,other,i forget,none,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,cause i listened to the story,random,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,bc i knew what kind of seashell match so i just know,,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,bc i know that the heavy even,scale,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,bc she can't reach it amd she doesn't have arms,scale,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,cause doesn't match and i know her,,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,bc which chair matches hat,,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,idk,none,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,idk,none,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium and meidum,,1
J,2018-02-17,36,2018-03-10,2014-03-10,4,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,its big and he's little,scale,1
